,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
37,donner,give
38,type,type
39,leurs,their
40,train,train
41,yeux,eyes
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
52,vieux,old
53,sois,be
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
59,venu,came
60,pardon,sorry
61,venez,come
62,devant,in front of
63,vers,towards
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,droit,law
69,aimerais,would like to
70,aujourd'hui,today
71,mari,husband
72,enfin,finally
73,eau,water
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
